2001 10
1.031347 168.731262 10.996016
1.031559 168.731094 10.995746
1.031770 168.730942 10.995478
1.031981 168.730759 10.995208
1.032191 168.730606 10.994940
1.032400 168.730438 10.994673
1.032609 168.730270 10.994404
1.032817 168.730103 10.994137
1.033025 168.729919 10.993870
1.033232 168.729767 10.993603
1.033439 168.729599 10.993336
1.033646 168.729431 10.993069
1.033851 168.729263 10.992804
1.034056 168.729111 10.992537
1.034261 168.728943 10.992273
1.034465 168.728775 10.992010
1.034668 168.728607 10.991746
1.034871 168.728455 10.991482
1.035074 168.728287 10.991219
1.035276 168.728119 10.990954
1.035477 168.727951 10.990692
1.035678 168.727783 10.990430
1.035878 168.727600 10.990168
1.036078 168.727448 10.989906
1.036277 168.727295 10.989645
1.036476 168.727112 10.989384
1.036674 168.726944 10.989124
1.036872 168.726776 10.988863
1.037070 168.726608 10.988604
1.037266 168.726456 10.988344
1.037463 168.726288 10.988085
1.037658 168.726105 10.987826
1.037854 168.725952 10.987568
1.038049 168.725784 10.987309
1.038243 168.725632 10.987051
1.038437 168.725464 10.986794
1.038630 168.725281 10.986536
1.038823 168.725113 10.986279
1.039015 168.724945 10.986022
1.039207 168.724777 10.985765
1.039398 168.724609 10.985509
1.039589 168.724426 10.985254
1.039779 168.724274 10.984999
1.039969 168.724121 10.984743
1.040159 168.723953 10.984488
1.040347 168.723785 10.984235
1.040535 168.723618 10.983980
1.040724 168.723450 10.983727
1.040911 168.723282 10.983473
1.041098 168.723129 10.983220
1.041285 168.722961 10.982966
1.041471 168.722794 10.982714
1.041656 168.722626 10.982460
1.041842 168.722458 10.982208
1.042026 168.722290 10.981956
1.042210 168.722122 10.981705
1.042394 168.721954 10.981453
1.042578 168.721786 10.981203
1.042761 168.721619 10.980953
1.042943 168.721451 10.980703
1.043125 168.721283 10.980453
1.043306 168.721100 10.980204
1.043488 168.720932 10.979954
1.043668 168.720779 10.979704
1.043849 168.720627 10.979456
1.044028 168.720444 10.979206
1.044207 168.720291 10.978958
1.044386 168.720108 10.978710
1.044565 168.719940 10.978462
1.044743 168.719772 10.978214
1.044920 168.719620 10.977966
1.045098 168.719437 10.977718
1.045274 168.719269 10.977470
1.045451 168.719101 10.977224
1.045627 168.718933 10.976977
1.045802 168.718765 10.976732
1.045977 168.718597 10.976485
1.046152 168.718430 10.976240
1.046326 168.718262 10.975995
1.046500 168.718094 10.975752
1.046673 168.717926 10.975506
1.046846 168.717758 10.975262
1.047018 168.717606 10.975019
1.047190 168.717422 10.974773
1.047362 168.717270 10.974531
1.047534 168.717102 10.974289
1.047704 168.716934 10.974047
1.047875 168.716751 10.973804
1.048045 168.716599 10.973562
1.048214 168.716415 10.973321
1.048384 168.716263 10.973080
1.048553 168.716095 10.972837
1.048721 168.715927 10.972596
1.048889 168.715759 10.972355
1.049057 168.715591 10.972114
1.049224 168.715424 10.971873
1.049391 168.715256 10.971632
1.049558 168.715088 10.971392
1.049724 168.714920 10.971149
1.049890 168.714752 10.970910
